TSLA;Tesla, Inc.;"Компания Tesla, Inc. проектирует, разрабатывает, производит, сдает в аренду и продает электромобили, а также системы выработки и хранения энергии в Соединенных Штатах, Китае и за рубежом. Компания работает в двух сегментах: автомобилестроении и производстве и хранении энергии. Автомобильный сегмент предлагает электромобили, а также продает автомобильные нормативные сертификаты; и негарантийные автомобили после продажи, подержанные автомобили, розничные товары и услуги по страхованию транспортных средств. Этот сегмент также предлагает седаны и внедорожники общего назначения через прямые продажи подержанных автомобилей, сеть нагнетателей Tesla и обновления в приложении; услуги по финансированию покупок и лизингу; услуги для электромобилей через принадлежащие компании сервисные центры и специалистов Tesla mobile service; а также ограниченные гарантии на автомобили и расширенные планы обслуживания. Сегмент производства и хранения энергии занимается проектированием, производством, установкой, продажей и арендой продуктов для производства и хранения солнечной энергии и сопутствующих услуг бытовым, коммерческим и промышленным потребителям и коммунальным службам через свой веб-сайт, магазины и галереи, а также через сеть партнеров по каналам сбыта; и предоставляет сервисное обслуживание и ремонт своим потребителям энергетических продуктов, в том числе по гарантии, а также различные варианты финансирования своим потребителям солнечной энергии. Ранее компания была известна как Tesla Motors, Inc. и сменила свое название на Tesla, Inc. в феврале 2017 года. Tesla, Inc. была зарегистрирована в 2003 году со штаб-квартирой в Остине, штат Техас."
GOOG;Alphabet Inc.;"Alphabet Inc. предлагает различные продукты и платформы в Соединенных Штатах, Европе, на Ближнем Востоке, в Африке, Азиатско-Тихоокеанском регионе, Канаде и Латинской Америке. Она работает через сервисы Google, Google Cloud и другие сегменты Bets. Сегмент Сервисов Google предоставляет продукты и сервисы, включая рекламу, Android, Chrome, аппаратное обеспечение, Gmail, Google Drive, Google Maps, Google Фото, Google Play, Поиск и YouTube. Он также участвует в продаже приложений, встроенных покупок и цифрового контента в Google Play Store.; и носимых устройствах Fitbit, продуктах Google Nest home, телефонах Pixel и других устройствах, а также при предоставлении нерекламных услуг YouTube. Сегмент Google Cloud предлагает инфраструктуру, кибербезопасность, данные, аналитику, искусственный интеллект и машинное обучение, а также другие сервисы; Google Workspace, который включает облачные инструменты совместной работы для предприятий, такие как Gmail, Docs, Drive, Calendar и Meet; и другие сервисы для корпоративных клиентов. Сегмент Other Bets продает медицинские технологии и интернет-услуги. Компания была основана в 1998 году со штаб-квартирой в Маунтин-Вью, Калифорния."
CSCO;Cisco Systems, Inc.;"Cisco Systems, Inc. разрабатывает, производит и продает сети на основе интернет-протоколов и другие продукты, относящиеся к индустрии связи и информационных технологий в Северной и Южной Америке, Европе, на Ближнем Востоке, в Африке, Азиатско-Тихоокеанском регионе, Японии и Китае. Компания также предлагает коммутационный портфель, включающий коммутацию кампусов, а также коммутацию центров обработки данных; корпоративный портфель маршрутизации соединяет государственные и частные проводные и мобильные сети, обеспечивая высокозащищенное и надежное подключение к кампусным сетям, центрам обработки данных и филиалам; беспроводные продукты включают беспроводные точки доступа и контроллеры; и портфель вычислений, включающий унифицированную вычислительную систему Cisco, hyperflex и возможности управления программным обеспечением, которые сочетают в себе управление вычислениями, сетями и инфраструктурой хранения, а также виртуализацию. Кроме того, он обеспечивает Интернет для будущего продукт состоит из маршрутизируемых оптических сетей, 5G, кремниевых и оптических решений; продуктов для совместной работы, таких как собрания, устройства для совместной работы, звонки, контактный центр и коммуникационная платформа как услуга; комплексный продукт безопасности включает сетевую безопасность, облачную безопасность, конечные точки безопасности, унифицированное управление угрозами и нулевое доверие; а также продукты для оптимизации взаимодействия с приложениями, включая полную наблюдаемость стека и обеспечение безопасности сети. Кроме того, компания предлагает своим клиентам ряд вариантов обслуживания и поддержки, включая техническую поддержку, расширенные сервисы и консультационные услуги. Она обслуживает предприятия различных размеров, государственные учреждения, правительства и поставщиков услуг. Компания продает свои продукты и услуги напрямую, а также через системных интеграторов, поставщиков услуг, других реселлеров и дистрибьюторов. Cisco Systems, Inc. имеет стратегические альянсы с другими компаниями. Cisco Systems, Inc. была зарегистрирована в 1984 году со штаб-квартирой в Сан-Хосе, Калифорния."
AMZN;Amazon.com , Inc.;"Amazon.com , Inc. занимается розничной продажей потребительских товаров и подписок через онлайн и физические магазины в Северной Америке и за рубежом. Компания работает в трех сегментах: Североамериканский, международный и Amazon Web Services (AWS). Продукты компании, предлагаемые через ее магазины, включают товары и контент, приобретенные для перепродажи, а также продукты, предлагаемые сторонними продавцами. Компания также производит и продает электронные устройства, включая Kindle, планшеты Fire, телевизоры Fire, Rings, Blink, eero и Echo; а также разрабатывает и производит медиаконтент. Кроме того, компания предлагает программы, которые позволяют продавцам продавать свои товары в ее магазинах; и программы, которые позволяют авторам, музыкантам, кинематографистам, стримерам Twitch, разработчикам навыков и приложений и другим публиковать и продавать контент. Кроме того, он предоставляет вычислительные услуги, хранилище, базу данных, аналитику, машинное обучение и другие услуги, а также подписки на фулфилмент, рекламу и цифровой контент. Кроме того, компания предлагает программу членства Amazon Prime. Он обслуживает потребителей, продавцов, разработчиков, предприятия, создателей контента и рекламодателей. Компания была зарегистрирована в 1994 году со штаб-квартирой в Сиэтле, штат Вашингтон."
ORCL;Oracle Corporation;"Корпорация Oracle предлагает продукты и услуги, предназначенные для корпоративных сред информационных технологий по всему миру. Предложение Oracle cloud software as a service включает различные облачные программные приложения, включая Oracle Fusion cloud enterprise resource planning (ERP), Oracle Fusion cloud enterprise performance management, Oracle Fusion cloud supply chain and manufacturing management, Oracle Fusion cloud human capital management, Oracle Cerner healthcare, Oracle Advertising и NetSuite applications suite, а также Oracle Fusion Sales, сервисное обслуживание и маркетинг. Компания также предлагает отраслевые решения на основе облачных технологий для различных отраслей промышленности; лицензии на приложения Oracle; и службы поддержки лицензий Oracle. Кроме того, он предоставляет облачные технологии и инфраструктуру лицензионного бизнеса, такие как базы данных Oracle и MySQL; Java, язык разработки программного обеспечения; и промежуточное программное обеспечение, включая инструменты разработки и другие. Технологии облачной инфраструктуры компании и лицензионного бизнеса также включают возможности облачных вычислений, хранения данных и создания сетей; а также Oracle autonomous database, MySQL HeatWave, Интернет вещей, цифровой ассистент и блокчейн. Кроме того, она предоставляет аппаратные продукты и другое программное обеспечение, связанное с оборудованием, включая инженерные системы Oracle, корпоративные серверы, решения для хранения данных, специализированное оборудование для отрасли, программное обеспечение для виртуализации, операционные системы, программное обеспечение для управления и сопутствующие аппаратные услуги; а также консультации и обслуживание клиентов. Компания продает свои облачные решения, лицензии, аппаратное обеспечение, поддержку и сервисы напрямую предприятиям различных отраслей промышленности, государственным учреждениям и образовательным учреждениям, а также по косвенным каналам. Компания сотрудничает с Amdocs Limited, чтобы расширить возможности клиентов на пути к внедрению облачных технологий и цифровых технологий. Корпорация Oracle была основана в 1977 году со штаб-квартирой в Остине, штат Техас."
ADBE;Adobe Inc.;"Adobe Inc. вместе со своими дочерними компаниями работает как диверсифицированная компания-разработчик программного обеспечения по всему миру. Она работает в трех сегментах: цифровые медиа, цифровой опыт и издательская деятельность и реклама. Сегмент цифровых медиа предлагает продукты, услуги и решения, которые позволяют отдельным лицам, командам и предприятиям создавать, публиковать и продвигать контент; а также Document Cloud - единую облачную платформу для предоставления услуг документооборота. Ее флагманским продуктом является Creative Cloud, услуга подписки, которая позволяет пользователям получать доступ к ее творческим продуктам. Этот сегмент предназначен для создателей контента, студентов, работников, маркетологов, преподавателей, энтузиастов, коммуникаторов и потребителей. Сегмент Digital Experience предоставляет интегрированную платформу и набор приложений и сервисов, которые позволяют брендам и компаниям создавать, управлять, реализовывать, измерять, монетизировать и оптимизировать взаимодействие с клиентами - от аналитики до коммерции. Этот сегмент обслуживает маркетологов, рекламодателей, агентства, издателей, мерчендайзеров, продавцов, веб-аналитиков, специалистов по обработке данных, разработчиков и руководителей C-suite. Сегмент издательской деятельности и рекламы предлагает продукты и услуги, такие как решения для электронного обучения, публикация технических документов, веб-конференции, платформа документов и форм, разработка веб-приложений и высококачественная печать, а также рекламные облачные предложения. Компания предлагает свои продукты и услуги непосредственно корпоративным клиентам через отдел продаж и местные отделения на местах, а также конечным пользователям через магазины приложений и через свой веб-сайт по адресу: adobe.com. Компания также распространяет продукты и услуги через сеть дистрибьюторов, реселлеров с добавленной стоимостью, системных интеграторов, поставщиков программного обеспечения и разработчиков, розничных торговцев и производителей оригинального оборудования. Компания, ранее известная как Adobe Systems Incorporated, сменила название на Adobe Inc. в октябре 2018 года. Adobe Inc. была основана в 1982 году со штаб-квартирой в Сан-Хосе, Калифорния."
SAP;SAP SE;"SAP SE вместе со своими дочерними компаниями поставляет программные продукты для корпоративных приложений по всему миру. Компания работает в сегментах приложений, технологий и услуг; Qualtrics; Бизнес-сети; и устойчивого развития. Он предлагает SAP S / 4HANA, который предлагает программные возможности для финансирования, управления рисками и проектами, закупок, производства, цепочки поставок и управления активами, а также исследований и разработок; решения SAP SuccessFactors для управления персоналом, включая управление персоналом и расчет заработной платы, управление талантами и опытом сотрудников, а также аналитику персонала и трудовых ресурсов; решения для управления расходами, которые охватывают прямые и косвенные расходы, командировочные расходы и внешнее управление персоналом. Компания также предоставляет решения SAP для взаимодействия с клиентами; технологическую платформу SAP для бизнеса, которая позволяет клиентам и партнерам создавать, интегрировать и расширять приложения в облаке; и SAP Business Network, которая позволяет компаниям сотрудничать с торговыми партнерами для обеспечения прозрачности цепочки поставок. Кроме того, он предлагает SAP Signavio помочь заказчикам сканировать свои операции, чтобы понять и улучшить ландшафт бизнес-процессов; Решения для управления опытом; отраслевые облачные решения SAP, которые предоставляют модульные решения для решения отраслевых задач; и решения, связанные с устойчивым развитием. Компания сотрудничает с Google Cloud, чтобы построить будущее открытых данных и искусственного интеллекта для предприятий. Компания SAP SE была основана в 1972 году со штаб-квартирой в Вальдорфе, Германия."
CRM;Salesforce, Inc. ;"Salesforce, Inc. предоставляет технологию управления взаимоотношениями с клиентами (CRM), которая объединяет компании и клиентов по всему миру. Услуги компании включают продажи для хранения данных, отслеживания потенциальных клиентов и прогресса, прогнозирования возможностей, получения информации с помощью аналитики и анализа взаимоотношений, а также предоставления предложений, контрактов и счетов-фактур; а также услуги, которые позволяют компаниям предоставлять надежное и высоко персонализированное обслуживание клиентов и поддержку в широком масштабе. Кроме того, предлагаемые им платформы включают гибкую платформу, которая позволяет компаниям различных размеров, местоположений и отраслей создавать бизнес-приложения с помощью инструментов перетаскивания; платформу онлайн-обучения, которая позволяет любому желающему овладеть востребованными навыками Salesforce; и Slack, систему вовлечения. Маркетинговые услуги компании позволяют компаниям планировать, персонализировать и оптимизировать маркетинговые кампании клиентов, а также персонализацию и оптимизацию в режиме реального времени.; и коммерческие сервисы, которые расширяют возможности совершения покупок в различных торговых точках, таких как мобильные устройства, Интернет, социальные сети и магазины, а также предоставляют инструменты ""клик-код"", позволяющие клиентам создавать и внедрять решения. Кроме того, его аналитическое предложение включает Tableau, комплексное аналитическое решение для ряда корпоративных вариантов использования, и интеллектуальную аналитику с использованием передовых моделей искусственного интеллекта, позволяющую выявлять тенденции, прогнозировать результаты, давать своевременные рекомендации и предпринимать действия с любого устройства; и интеграционные сервисы, включая MuleSoft, которые позволяют легко подключать данные из любой системы для обеспечения взаимодействия. Кроме того, компания предоставляет genie customer data cloud, гипермасштабируемую платформу обработки данных в реальном времени, которая поддерживает платформу customer 360; вертикальные сервисы для удовлетворения потребностей клиентов в таких отраслях, как финансовые услуги, здравоохранение и науки о жизни, производство и другие; и предлагает salesforce easy для малого и среднего бизнеса. Компания Salesforce, Inc. была зарегистрирована в 1999 году со штаб-квартирой в Сан-Франциско, Калифорния."
NFLX;Netflix, Inc.;Netflix, Inc. предоставляет развлекательные услуги. Он предлагает телесериалы, документальные и художественные фильмы, а также мобильные игры в различных жанрах и на разных языках. Компания предоставляет участникам возможность получать потоковый контент через множество подключенных к Интернету устройств, включая телевизоры, цифровые видеоплееры, телевизионные приставки и мобильные устройства. У компании около 231 миллиона платных пользователей в 190 странах. Netflix, Inc. была зарегистрирована в 1997 году со штаб-квартирой в Лос-Гатосе, Калифорния.
PYPL;PayPal Holdings, Inc.;PayPal Holdings, Inc. управляет технологической платформой, которая позволяет осуществлять цифровые платежи от имени продавцов и потребителей по всему миру. Компания предоставляет платежные решения под названиями PayPal, PayPal Credit, Braintree, Venmo, Xoom, PayPal Zettle, Hyperwallet, PayPal Honey и Paidy. Его платежная платформа позволяет потребителям отправлять и получать платежи примерно на 200 рынках и примерно в 150 валютах, выводить средства на свои банковские счета в 56 валютах и удерживать остатки на своих счетах PayPal в 25 валютах. Компания была основана в 1998 году со штаб-квартирой в Сан-Хосе, Калифорния.
QCOM;QUALCOMM Incorporated ;"Компания QUALCOMM Incorporated занимается разработкой и коммерциализацией основополагающих технологий для индустрии беспроводной связи по всему миру. Он работает в трех сегментах: Qualcomm CDMA Technologies (QCT); Qualcomm Technology Licensing (QTL); и Qualcomm Strategic Initiatives (QSI). Сегмент QCT разрабатывает и поставляет интегральные схемы и системное программное обеспечение на основе 3G / 4G / 5G и других технологий для использования в беспроводной передаче голоса и данных, сетевых технологиях, вычислениях, мультимедиа и продуктах определения местоположения. Сегмент QTL предоставляет лицензии или права на использование частей своего портфеля интеллектуальной собственности, которые включают различные патентные права, полезные при производстве и продаже беспроводных продуктов, включая продукты, реализующие стандарты 5G на основе CDMA2000, WCDMA, LTE и / или OFDMA, и их производные. Сегмент QSI инвестирует в компании ранней стадии развития в различных отраслях, включая 5G, искусственный интеллект, автомобильную, потребительскую, корпоративную, облачную, IoT и расширенную реальность, а также инвестиции, включая нерыночные долевые ценные бумаги и, в меньшей степени, рыночные долевые ценные бумаги и конвертируемые долговые инструменты. Она также предоставляет разработки, другие услуги и сопутствующие продукты правительственным учреждениям Соединенных Штатов и их подрядчикам. Компания была зарегистрирована в 1985 году со штаб-квартирой в Сан-Диего, Калифорния."
EBAY;eBay Inc.;eBay Inc. управляет платформами marketplace, которые объединяют покупателей и продавцов в Соединенных Штатах и за рубежом. Платформа marketplace компании включает в себя онлайн-маркетплейс по адресу ebay.com и набор мобильных приложений eBay. Ее платформы позволяют пользователям составлять списки, покупать и продавать различные продукты. Компания была основана в 1995 году со штаб-квартирой в Сан-Хосе, Калифорния.
RXT;Rackspace Technology, Inc. ;"Rackspace Technology, Inc. работает как компания по предоставлению услуг в области мультиоблачных технологий в Северной и Южной Америке, Европе, на Ближнем Востоке, в Африке и Азиатско-Тихоокеанском регионе. Он работает в двух сегментах: Мультиоблачные сервисы и приложения и кроссплатформенный. Сегмент услуг Multicloud предоставляет сервисы, управляемые общедоступным и частным облаком, которые позволяют клиентам определять, управлять и оптимизировать нужную инфраструктуру, платформы и сервисы; а также профессиональные услуги, связанные с проектированием и созданием мультиоблачных решений и облачных приложений. Сегмент приложений и кроссплатформенности включает управляемые приложения; управляемые службы безопасности в таких областях, как оценка и предотвращение угроз безопасности, обнаружение угроз и реагирование на них, быстрое устранение неполадок, управление и помощь в выявлении рисков и соблюдении требований на нескольких облачных платформах, а также службы конфиденциальности и защиты данных, включая подробные ограничения доступа и отчетность; службы передачи данных; и профессиональные услуги, связанные с разработкой и внедрением приложений, служб безопасности и передачи данных. Компания Rackspace Technology, Inc. была основана в 1998 году со штаб-квартирой в Сан-Антонио, штат Техас."
DBX;Dropbox, Inc.;Компания Dropbox, Inc. предоставляет платформу для совместной работы с контентом по всему миру. Платформа компании позволяет отдельным лицам, семьям, командам и организациям сотрудничать и бесплатно регистрироваться через ее веб-сайт или приложение, а также переходить на платный план подписки для получения премиум-функций. Он обслуживает клиентов в сфере профессиональных услуг, технологий, средств массовой информации, образования, промышленности, потребительской и розничной торговли, а также финансовых услуг. Ранее компания была известна как Evenflow, Inc., а в октябре 2009 года сменила название на Dropbox, Inc. Dropbox, Inc. была зарегистрирована в 2007 году со штаб-квартирой в Сан-Франциско, Калифорния.
DOCU;DocuSign, Inc.;"DocuSign, Inc. предоставляет решения для электронной подписи в Соединенных Штатах и за рубежом. Компания предоставляет решение для электронной подписи DocuSign, которое позволяет отправлять и подписывать соглашения на различных устройствах; управление жизненным циклом контрактов (CLM), которое автоматизирует рабочие процессы на протяжении всего процесса заключения соглашений; и Gen для Salesforce, который позволяет торговым представителям автоматически создавать соглашения несколькими щелчками мыши из Salesforce. Он также предоставляет Identify - опцию идентификации подписавшего для проверки удостоверений личности, выданных правительством; Подписи на основе стандартов, которые поддерживают подписи, использующие цифровые сертификаты; и Монитор, который использует расширенную аналитику для отслеживания учетных записей DocuSign eSignature в Интернете, на мобильных устройствах и в API. Кроме того, компания предлагает Rooms for Real Estate, которые позволяют брокерам и агентам управлять всей транзакцией с недвижимостью в цифровом виде; DocuSign Federal и DocuSign CLM - это FedRAMP, авторизованная версия DocuSign eSignature для федеральных правительственных учреждений США; и модули life sciences, которые поддерживают соблюдение практики электронной подписи. Компания реализует свою продукцию посредством прямых продаж и партнерских отношений, а также покупок через Интернет с самообслуживанием. Компания была зарегистрирована в 2003 году со штаб-квартирой в Сан-Франциско, Калифорния."
FI;Fiserv, Inc. ;"Fiserv, Inc. вместе со своими дочерними компаниями предоставляет технологии платежей и финансовых услуг по всему миру. Компания работает в сегментах приема платежей, финансовых технологий и платежей. Сегмент Acceptance предоставляет услуги торгового эквайринга и цифровой коммерции в точках продаж; услуги мобильных платежей; продукты безопасности и защиты от мошенничества; Carat, решение для омниканальной коммерции; Clover, облачную платформу для точек продаж и управления бизнесом; и Clover Connect, платформу независимых поставщиков программного обеспечения. Этот сегмент осуществляет дистрибуцию по различным каналам, включая команды прямых продаж, стратегические партнерские отношения с агентами по продажам, независимыми поставщиками программного обеспечения, финансовыми учреждениями и другими стратегическими партнерами. Сегмент финансовых технологий предлагает клиентам депозитные и кредитные счета, а также управляет главной бухгалтерской книгой учреждения и центральными информационными файлами. Этот сегмент также предоставляет цифровые банковские услуги, управление финансами и рисками, профессиональные услуги и консалтинг, обработку товаров и сбор исходных данных, а также другие продукты и услуги. Сегмент платежей предлагает операции по картам, такие как обработка и обслуживание дебетовых, кредитных и предоплаченных карт; продукты безопасности и защиты от мошенничества; производство карт; услуги печати; и различные сетевые сервисы, а также программное обеспечение и услуги для цифровых платежей без использования карт, включая оплату счетов, переводы со счета на счет, личные платежи, электронное выставление счетов и продукты безопасности и защиты от мошенничества. Он обслуживает бизнес, банки, кредитные союзы, другие финансовые учреждения, продавцов и корпоративных клиентов. Fiserv, Inc. была зарегистрирована в 1984 году со штаб-квартирой в Брукфилде, штат Висконсин."
ISRG;Intuitive Surgical, Inc. ;"Intuitive Surgical, Inc. разрабатывает, производит и продает продукты, которые позволяют врачам и поставщикам медицинских услуг повысить качество минимально инвазивной помощи и доступ к ней в Соединенных Штатах и за рубежом. Компания предлагает хирургическую систему da Vinci для проведения сложных операций с использованием минимально инвазивного подхода; и эндолюминальную систему Ion, которая расширяет свои коммерческие предложения за пределы хирургии и включает диагностические процедуры, позволяющие проводить минимально инвазивную биопсию легких. Компания также предоставляет набор скрепляющих, энергетических и основных инструментов для своих хирургических систем; прогрессивные пути обучения для поддержки использования своих технологий; набор услуг для своих клиентов, включая поддержку, установку, ремонт и техническое обслуживание; и интегрированные цифровые возможности, обеспечивающие взаимосвязанные предложения, оптимизирующие производительность больниц и улучшающие понимание программ. Компания была зарегистрирована в 1995 году со штаб-квартирой в Саннивейле, Калифорния."
IQ;iQIYI, Inc.;"iQIYI, Inc. вместе со своими дочерними компаниями предоставляет развлекательные видеоонлайн-услуги в Китайской Народной Республике. Он предлагает различные продукты и услуги, включая онлайн-видео, онлайн-игры, онлайн-литературу, анимацию и другие продукты. Компания управляет платформой, которая предоставляет коллекцию интернет-видеоконтента, такого как профессионально произведенный контент, лицензированный у профессиональных поставщиков контента, и контент собственного производства. Он также предлагает членство, онлайн-рекламу, распространение контента и услуги прямых трансляций. Кроме того, компания управляет iQIYI Show, платформой для прямых трансляций, которая позволяет пользователям следить за своими любимыми ведущими и шоу в режиме реального времени через прямую трансляцию; и iQIYI Lite, который предлагает простой и быстрый доступ к персонализированным видео в зависимости от предпочтений пользователя. Кроме того, она участвует в деятельности агентства по поиску талантов и лицензированию интеллектуальной собственности, а также занимается разработкой приложения для видеосообщества. Ранее компания была известна как Qiyi.com, Inc. и изменила свое название на iQIYI, Inc. в ноябре 2017 года. iQIYI, Inc. была основана в 2009 году со штаб-квартирой в Пекине, Китай. iQIYI, Inc. является дочерней компанией Baidu, Inc."
;;
